ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Furnished_Status,Floor_No,Total_Floors,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Good_Investment,Property_Age
245685,Telangana,Hyderabad,Locality_122,Villa,5,2919,226.29,7752.312435765673,Semi-furnished,24,21,10,8,Low,No,Yes,"Gym, Pool, Garden, Playground",West,Broker,Ready_to_Move,1,35
98841,Andhra Pradesh,Vijayawada,Locality_486,Villa,5,3639,191.38,5259.137125583951,Unfurnished,6,12,7,8,High,No,Yes,"Clubhouse, Pool, Playground",North,Broker,Ready_to_Move,1,4
73439,Andhra Pradesh,Vishakhapatnam,Locality_357,Apartment,5,1588,16.81,1058.564231738035,Furnished,8,2,5,5,High,No,Yes,"Gym, Playground",North,Owner,Under_Construction,1,23
118846,West Bengal,Durgapur,Locality_46,Apartment,1,3647,252.36,6919.659994516041,Unfurnished,19,28,3,5,High,Yes,No,"Clubhouse, Garden, Playground, Gym",West,Broker,Under_Construction,1,9
238441,Uttar Pradesh,Lucknow,Locality_468,Apartment,4,3155,464.11,14710.301109350237,Furnished,20,25,8,4,Low,Yes,No,"Garden, Clubhouse, Playground",North,Builder,Ready_to_Move,0,21
80249,Karnataka,Mangalore,Locality_363,Villa,1,3558,124.92,3510.9612141652615,Semi-furnished,7,4,2,3,Low,Yes,No,"Garden, Pool, Playground",West,Builder,Under_Construction,1,22
75222,Punjab,Ludhiana,Locality_200,Villa,5,4376,290.59,6640.539305301644,Furnished,24,12,1,7,High,Yes,No,"Playground, Clubhouse, Pool, Garden",South,Broker,Under_Construction,1,15
55820,Uttarakhand,Haridwar,Locality_338,Apartment,5,3459,316.62,9153.512575888984,Semi-furnished,20,14,6,8,Medium,No,No,Clubhouse,West,Owner,Under_Construction,1,22
69473,Kerala,Trivandrum,Locality_279,Independent House,4,2794,231.98,8302.791696492484,Unfurnished,24,9,2,5,High,Yes,Yes,"Garden, Playground, Clubhouse, Gym",West,Builder,Ready_to_Move,1,20
192500,Karnataka,Mysore,Locality_195,Independent House,4,1743,242.21,13896.156052782559,Unfurnished,9,22,2,2,Low,Yes,Yes,"Clubhouse, Pool, Garden",North,Builder,Ready_to_Move,0,21
96487,Uttarakhand,Dehradun,Locality_409,Independent House,1,3720,37.57,1009.9462365591398,Furnished,21,8,1,10,High,Yes,Yes,"Pool, Playground, Clubhouse, Garden, Gym",East,Owner,Under_Construction,1,11
68640,Odisha,Bhubaneswar,Locality_123,Independent House,5,3034,178.46,5882.003955174687,Furnished,12,4,8,4,Medium,No,No,"Garden, Pool, Playground",North,Builder,Under_Construction,1,32
47022,Bihar,Gaya,Locality_40,Apartment,2,1793,276.64,15428.890128276631,Unfurnished,8,18,1,6,Medium,Yes,Yes,"Clubhouse, Gym, Playground, Garden, Pool",South,Builder,Ready_to_Move,0,23
119693,Odisha,Bhubaneswar,Locality_311,Apartment,2,4600,182.74,3972.608695652174,Semi-furnished,10,22,4,5,High,No,Yes,"Playground, Garden",North,Broker,Under_Construction,1,24
73962,Bihar,Gaya,Locality_412,Apartment,5,1581,237.18,15001.897533206831,Unfurnished,21,14,3,6,Medium,No,Yes,"Gym, Pool",West,Broker,Ready_to_Move,0,26
135960,Assam,Silchar,Locality_73,Apartment,4,2299,72.75,3164.4193127446715,Unfurnished,14,21,7,4,Medium,Yes,No,"Garden, Clubhouse, Gym",East,Broker,Ready_to_Move,1,10
148037,Haryana,Faridabad,Locality_382,Villa,3,4077,356.39,8741.476575913663,Semi-furnished,2,15,4,8,Medium,No,No,"Pool, Gym, Playground, Clubhouse, Garden",South,Builder,Under_Construction,1,24
106371,Odisha,Bhubaneswar,Locality_147,Villa,2,4146,64.55,1556.9223347805114,Unfurnished,13,29,10,6,Low,Yes,Yes,"Garden, Playground, Gym, Clubhouse, Pool",South,Owner,Under_Construction,1,32
21484,Rajasthan,Jodhpur,Locality_311,Villa,3,2281,102.05,4473.914949583516,Furnished,9,23,9,9,High,Yes,No,"Pool, Playground, Gym, Clubhouse",East,Owner,Under_Construction,1,8
248686,Odisha,Cuttack,Locality_189,Apartment,3,2812,256.88,9135.135135135135,Semi-furnished,29,6,5,7,Medium,No,No,"Gym, Garden, Pool, Playground, Clubhouse",North,Broker,Under_Construction,1,8
210272,Gujarat,Surat,Locality_331,Villa,3,2425,237.75,9804.123711340206,Furnished,15,15,8,6,Low,No,Yes,"Pool, Clubhouse",East,Builder,Under_Construction,1,23
192137,Gujarat,Surat,Locality_280,Apartment,3,4242,199.75,4708.863743517209,Furnished,24,5,1,1,Medium,No,No,"Gym, Playground, Garden, Clubhouse",East,Broker,Ready_to_Move,1,14
30444,Punjab,Amritsar,Locality_365,Independent House,4,3190,30.0,940.4388714733542,Furnished,15,28,8,6,High,No,No,Pool,North,Builder,Under_Construction,1,14
109229,Andhra Pradesh,Vishakhapatnam,Locality_375,Apartment,2,1984,229.42,11563.508064516129,Unfurnished,5,23,8,10,Medium,Yes,Yes,"Garden, Clubhouse, Pool, Gym, Playground",North,Owner,Ready_to_Move,0,4
237378,Gujarat,Ahmedabad,Locality_418,Villa,1,1412,77.72,5504.249291784702,Unfurnished,10,21,9,9,Medium,No,No,"Pool, Gym",West,Builder,Ready_to_Move,1,17
176351,Assam,Silchar,Locality_231,Villa,2,1444,304.73,21103.185595567866,Furnished,3,27,8,9,Low,No,No,"Playground, Clubhouse, Garden",North,Broker,Under_Construction,0,30
